,vmId,cluster,virtualDatacenter,ip_addresses,os,os_name,vmState,vCpu,vmName,vRam,vinfo_provisioned,vinfo_used,vmdkTotal,vmdkUsed
130,vm-3684,BRB-UCS-Windows-01,BRB,157.139.6.60,Microsoft Windows Server 2022 (64-bit),NYDCWCMT03.wcmtest.net,poweredOn,4,NYDCWCMT03,16.0,216.125,216.125,200.0,25.2705078125
131,vm-5525,BRB-UCS-Windows-01,BRB,157.139.238.97,Microsoft Windows Server 2016 or later (64-bit),NYEXCHAPP01.company.net,poweredOn,4,NYEXCHAPP01,16.0,1184.1826171875,1184.1826171875,1168.0,418.896484375
132,vm-5526,BRB-UCS-Windows-01,BRB,157.139.238.98,Microsoft Windows Server 2016 or later (64-bit),NYEXCHAPP02.company.net,poweredOn,4,NYEXCHAPP02,16.0,1184.255859375,1184.255859375,1168.0,371.6669921875
133,vm-6015,BRB-UCS-Windows-01,BRB,157.139.238.99,Microsoft Windows Server 2016 or later (64-bit),NYEXCHAPP03.company.net,poweredOn,4,NYEXCHAPP03,16.0,1184.140625,1184.140625,1168.0,369.697265625
134,vm-5081,BRB-UCS-Windows-01,BRB,157.139.238.50,Microsoft Windows Server 2022 (64-bit),NYKMSLSP01.company.net,poweredOn,2,NYKMSLSP01,8.0,88.1435546875,88.1435546875,80.0,19.2041015625
135,vm-3620,BRB-UCS-Windows-01,BRB,157.139.241.58,Microsoft Windows Server 2019 (64-bit),NYO365D01.wcmtest.net,poweredOn,4,NYO365D01,16.0,216.2021484375,216.2021484375,200.0,91.1806640625
136,vm-4728,BRB-UCS-Windows-01,BRB,no ip,none specified,,poweredOff,2,NYRCAAPP01,8.0,68.5537109375,60.001953125,60.0,60.001953125
137,vm-5471,BRB-UCS-Windows-01,BRB,157.139.250.65,Microsoft Windows Server 2019 (64-bit),NYSCAAPP01.company.net,poweredOn,4,NYSCAAPP01,16.0,136.2001953125,136.2001953125,120.0,28.375
138,vm-5472,BRB-UCS-Windows-01,BRB,157.139.241.75,Microsoft Windows Server 2016 or later (64-bit),NYSCRAPP01.company.net,poweredOn,4,NYSCRAPP01,16.0,236.4287109375,236.4287109375,220.0,171.6982421875
139,vm-4416,BRB-UCS-Windows-01,BRB,157.139.241.50,Microsoft Windows Server 2022 (64-bit),NYSRVAPP01.company.net,poweredOn,2,NYSRVAPP01,8.0,68.1484375,68.1484375,60.0,23.150390625
140,vm-4687,BRB-UCS-Linux-01,BRB,157.139.241.51,Microsoft Windows Server 2022 (64-bit),NYSRVAPP02.company.net,poweredOn,2,NYSRVAPP02,8.0,68.1923828125,68.1923828125,60.0,19.1494140625
141,vm-5082,BRB-UCS-Windows-01,BRB,157.139.225.170,Microsoft Windows Server 2022 (64-bit),NYSRVWCMT01.wcmtest.net,poweredOn,2,NYSRVWCMT01,8.0,188.1494140625,188.1494140625,180.0,20.509765625
142,vm-4733,BRB-UCS-Windows-01,BRB,157.139.241.45,Microsoft Windows Server 2016 or later (64-bit),OBG-XTRAWEBP02.company.net,poweredOn,2,OBG-XTRAWEBP02,4.0,124.0810546875,124.0810546875,120.0,45.2021484375
143,vm-4446,BRB-UCS-Linux-01,BRB,157.139.250.76,Red Hat Enterprise Linux 8 (64-bit),okeeffe-b,poweredOn,2,okeeffe-b,8.0,308.0791015625,308.0791015625,300.0,202.4580078125
144,vm-4715,BRB-UCS-Linux-01,BRB,157.139.225.110,CentOS 7 (64-bit),phantom01,poweredOn,8,phantom01,32.0,2140.2001953125,2140.2001953125,2108.0,66.6630859375
145,vm-6003,BRB-UCS-Windows-01,BRB,157.139.238.33,Microsoft Windows Server 2019 (64-bit),PO-POFOSQLP03.company.net,poweredOn,8,PO-POFOSQLP03,32.0,2706.45703125,2706.45703125,2674.0,186.125
146,vm-3187,ITSVM2,BRB,14.252.98.188,Microsoft Windows Server 2012 (64-bit),POVM-APOP01.company.net,poweredOn,2,POVM-APOP01,8.0,608.451171875,608.451171875,600.0,326.970703125
147,vm-4736,BRB-UCS-Windows-01,BRB,157.139.225.101,Microsoft Windows Server 2019 (64-bit),POVM-DATADICP02.company.net,poweredOn,16,POVM-DATADICP02,32.0,1567.3525390625,1567.3525390625,1535.0,917.16015625
148,vm-5135,BRB-UCS-Windows-01,BRB,no ip,Microsoft Windows Server 2012 (64-bit),,poweredOff,16,POVM-DATADICP02_2012os,32.0,1567.568359375,1535.001953125,1535.0,1535.001953125
149,vm-5085,BRB-UCS-Windows-01,BRB,no ip,none specified,,poweredOff,16,POVM-DATADICP02_2019os_clone,32.0,1567.56640625,1535.0,1535.0,1535.0
150,vm-3623,BRB-UCS-Windows-01,BRB,157.139.237.133,Microsoft Windows Server 2016 or later (64-bit),POVM-DATADICT02.company.net,poweredOn,4,POVM-DATADICT02,24.0,1174.1357421875,1174.1357421875,1150.0,142.271484375
151,vm-5084,BRB-UCS-Windows-01,BRB,no ip,Microsoft Windows Server 2008 (64-bit),,poweredOff,2,POVM-DATADWBP01_2008r2,4.0,124.3369140625,120.00390625,120.0,120.00390625
152,vm-5465,BRB-UCS-Windows-01,BRB,157.139.237.143,Microsoft Windows Server 2019 (64-bit),POVM-DATADWBP01.company.net,poweredOn,4,POVM-DATADWBP01_2019os,6.0,166.0849609375,166.0849609375,160.0,46.9814453125
153,vm-5136,BRB-UCS-Windows-01,BRB,no ip,Microsoft Windows Server 2012 (64-bit),,poweredOff,4,POVM-DATADWBP01_clone,6.0,126.5615234375,120.0078125,120.0,120.0078125
154,vm-5528,BRB-UCS-Windows-01,BRB,157.139.237.119,Microsoft Windows Server 2016 or later (64-bit),POVM-DATADWBP02.company.net,poweredOn,2,POVM-DATADWBP02,8.0,128.1240234375,128.1240234375,120.0,52.3193359375
155,vm-5100,BRB-UCS-Windows-01,BRB,157.139.226.64,Microsoft Windows Server 2019 (64-bit),POVM-STARREZP01.company.net,poweredOn,2,POVM-STARREZP01,6.0,146.1103515625,146.1103515625,140.0,68.568359375
156,vm-134478,BRB-UCS-Windows-01,BRB,no ip,Microsoft Windows Server 2008 (64-bit),,poweredOff,2,POVM-STARREZP01-clone,3.0,143.33203125,140.0,140.0,140.0
157,vm-5109,BRB-UCS-Linux-01,BRB,no ip,Red Hat Enterprise Linux 6 (64-bit),,poweredOff,1,prx1,3.0,63.3544921875,60.0029296875,60.0,60.0029296875
158,vm-3181,ITSVM2,BRB,140.251.6.116,Microsoft Windows Server 2016 or later (64-bit),RSP-ENCMPSP01.company.net,poweredOn,2,RSP-ENCMPSP01,4.0,194.1865234375,194.1865234375,190.0,53.9423828125
159,vm-3185,ITSVM2,BRB,140.251.6.81,Microsoft Windows Server 2016 or later (64-bit),SAPBODSCLNT1.company.net,poweredOn,8,SAPBODSCLNT1,32.0,482.5224609375,482.5224609375,450.0,116.8857421875
160,vm-5950,BRB-UCS-Windows-01,BRB,157.139.226.76,Microsoft Windows Server 2016 or later (64-bit),SAPBODSCLOFF1.company.net,poweredOn,4,SAPBODSCLOFF1,16.0,456.4287109375,456.4287109375,440.0,231.0234375
161,vm-5935,BRB-UCS-Windows-01,BRB,157.139.226.140,Microsoft Windows Server 2016 or later (64-bit),SAPBODSCLOFF2.company.net,poweredOn,2,SAPBODSCLOFF2,8.0,538.12890625,538.12890625,530.0,139.6708984375
162,vm-5955,BRB-UCS-Windows-01,BRB,157.139.226.147,Microsoft Windows Server 2016 or later (64-bit),SAPMULTIUSE.company.net,poweredOn,4,SAPMULTIUSE,16.0,541.150390625,541.150390625,525.0,112.734375
163,vm-4725,BRB-UCS-Windows-01,BRB,157.139.226.190,Microsoft Windows Server 2016 or later (64-bit),SAPPIPBCK.company.net,poweredOn,4,SAPPIPBCK,32.0,2432.4287109375,2432.4287109375,2400.0,1985.8515625
164,vm-5933,BRB-UCS-Windows-01,BRB,157.139.6.31,Microsoft Windows Server 2016 or later (64-bit),sappowbinonp1.company.net,poweredOn,8,SAPPOWBINONP1,16.0,246.1708984375,246.1708984375,230.0,65.8515625
165,vm-15407,BRB-UCS-Windows-01,BRB,157.139.6.32,Microsoft Windows Server 2016 or later (64-bit),SAPPOWBINONP2.company.net,poweredOn,8,SAPPOWBINONP2,16.0,246.22265625,246.22265625,230.0,84.6396484375
166,vm-5954,BRB-UCS-Windows-01,BRB,157.139.6.35,Microsoft Windows Server 2016 or later (64-bit),SAPpowbiPRD1.company.net,poweredOn,8,SAPpowbiPRD1,16.0,246.1572265625,246.1572265625,230.0,54.1015625
167,vm-5958,BRB-UCS-Windows-01,BRB,157.139.6.36,Microsoft Windows Server 2016 or later (64-bit),SAPpowbiPRD2.company.net,poweredOn,8,SAPpowbiPRD2,16.0,246.1787109375,246.1787109375,230.0,71.5029296875
168,vm-163271,BRB-UCS-Windows-01,BRB,157.139.6.77,Microsoft Windows Server 2022 (64-bit),SAPSNCp01.company.net,poweredOn,4,SAPSNCp01,16.0,166.138671875,166.138671875,150.0,23.7060546875
169,vm-3616,BRB-UCS-Windows-01,BRB,157.139.250.36,Microsoft Windows Server 2016 or later (64-bit),scu-wintest01.company.net,poweredOn,1,scu-wintest01,4.0,104.0810546875,104.0810546875,100.0,19.3740234375
170,vm-4481,BRB-UCS-Linux-01,BRB,157.139.250.86,Red Hat Enterprise Linux 7 (64-bit),scu-xmod.company.net,poweredOn,2,scu-xmod,8.0,108.0791015625,108.0791015625,100.0,17.6484375
171,vm-4478,BRB-UCS-Linux-01,BRB,157.139.250.75,Red Hat Enterprise Linux 8 (64-bit),sec-archive,poweredOn,8,sec-archive,16.0,116.0849609375,116.0849609375,100.0,31.3486328125
172,vm-5101,BRB-UCS-Windows-01,BRB,157.139.226.122,Microsoft Windows Server 2016 or later (64-bit),SP-ECOPYP01.company.net,poweredOn,4,SP-ECOPYP01,8.0,148.11328125,114.869140625,140.0,48.78515625
173,vm-52219,BRB-UCS-Linux-01,BRB,10.63.36.41,SUSE openSUSE (64-bit),SUPAUDP03-1,poweredOn,4,supaudp03-1,16.0,126.505859375,126.505859375,110.0,31.0791015625
174,vm-52220,BRB-UCS-Linux-01,BRB,10.63.36.42,SUSE openSUSE (64-bit),SUPAUDP03-2,poweredOn,4,supaudp03-2,16.0,126.505859375,126.505859375,110.0,34.0009765625
175,vm-52217,BRB-UCS-Linux-01,BRB,10.63.36.43,SUSE openSUSE (64-bit),SUPAUDP03-3,poweredOn,4,supaudp03-3,16.0,126.509765625,126.509765625,110.0,36.126953125
176,vm-52221,BRB-UCS-Linux-01,BRB,10.63.36.44,SUSE openSUSE (64-bit),SUPAUDP03-4,poweredOn,4,supaudp03-4,16.0,126.505859375,126.505859375,110.0,32.712890625
